,Values
0,0.370997126117496
1,0.0384788302222141
2,0.00343926071924021
3,-0.00136592355451961
4,-0.0771436420834777
5,-0.0170643907236629
6,-0.00584825400120406
7,0.00342602376964638
8,-0.00673187167267527
9,0.0455186347679766
10,-0.0119123913685108
11,-0.0141549050040194
12,0.0071878990617153
13,-0.00206346922920996
14,0.0060826643624905
15,-0.00839944144806116
16,0.0112014591597523
17,1.70522250181878e-05
18,-0.000658975537511483
19,0.00315127017769969
20,-0.00991693899418092
21,0.00289850939968858
22,-0.00729578429184276
23,0.0134712713255303
24,-0.0170599554085474
25,0.0404195672065418
26,-0.0458739140730915
27,0.0081060419811492
28,0.000812831763504835
29,-0.00617699114377007
30,-0.00723465382350056
31,-0.0143524249664334
32,0.0112740876413648
33,-0.000912973961080261
34,0.0288151633486737
35,-0.018343113844451
36,-0.000480236165097103
37,0.0601458379105178
38,0.017721802222846
39,-0.0159647446617657
40,-0.0633752419892117
41,-0.078698268986792
42,0.0272686567129928
43,-0.0346368099132383
44,0.0786038300283177
45,0.104189552973509
46,-0.0192833862980864
47,0.0146118509840537
48,-0.0753361836265035
49,-0.00147087211873009
50,0.00755517463639933
51,-0.0225000119830521
52,-0.00677903233201902
53,0.0342003801170362
54,-0.00336961628405039
55,0.0254070805675006
56,-0.0693340506744246
57,-0.0534839130530264
58,0.0231082465427003
59,-0.0165701609615594
60,0.091249782449956
61,-0.00524163577076634
62,0.0198936355505866
63,0.0291754749151525
64,0.0112633348831874
65,-0.0374328643002998
66,0.0828365194709479
67,-0.0577116049412122
68,0.0719736422159422
69,-0.149138766574279
70,-0.106342424037094
71,0.0902468915745649
72,0.0892428838419601
73,-0.0651272235453676
74,0.0769829185865649
75,-0.0823885450973904
76,0.0280724919124906
77,-0.14314010084019
78,0.0416283364491312
79,0.235608303312071
80,-0.230711721679263
81,0.0717990974274546
82,-0.0396013609508535
83,0.0289140435243317
84,0.0759321826169829
85,-0.127307913125302
86,0.139571045627252
87,-0.153911580129073
88,0.094198699036598
89,-0.0541087988539118
90,0.0123253669964211
91,-0.0533831175201609
92,0.0681266361011013
93,-0.0294220141982577
94,-0.0293748582774667
95,-0.0295907573916148
96,0.215629069986566
97,-0.000379578771239626
98,-0.11276265718341
99,0.047678074532258
100,0.00764853760838629
101,-0.09082780608859
102,-0.164228841954992
103,0.270101311381816
104,-0.103559332757717
105,0.0714023881655726
106,0.0836596363694808
107,-0.32687465535962
108,0.321229197893291
109,-0.12630654647825
110,0.0137842333863681
111,0.0125231912763749
112,0.0128122135692459
113,0.0183238189707782
114,-0.0792901602245217
115,0.0783518846039597
116,0.118684624276709
117,-0.156353397235629
118,-0.0463782434586522
119,0.107841503227831
120,-0.233328589333277
121,0.280936185312415
122,-0.12588028629848
123,0.0866484794468776
124,-0.0743083428324767
125,0.06321011128919
126,-0.123654379878497
127,0.025361712086177
128,0.124636517023199
129,-0.293386608599638
130,0.108750295687748
131,0.157276339030511
132,-0.0358998882535723
133,-0.0681776153047766
134,-0.0624289049687456
135,0.142892309949406
136,-0.055770918775314
137,0.0572473380893718
138,-0.0465896889765619
139,0.126023350355888
140,-0.188633251361191
141,0.0917374607294386
142,0.0411344163609826
143,-0.264938898599425
144,0.173925213948907
145,0.138466676472222
146,-0.00209916521157913
147,0.158158688235099
148,-0.225948588818044
149,0.0920057176258335
150,-0.521822422843393
151,-0.100756406833091
152,0.643681122368371
153,-0.14754510147535
154,-0.0150458027036397
155,0.0148065795413646
156,0.0107118450814582
157,-0.182182765957864
158,0.000748721892356397
159,0.0358304921246882
160,0.157710783052189
161,-0.0770031479890017
162,0.0290276104835497
163,0.0462950134816093
164,0.119072319405017
165,0.0299470936193656
166,-0.331838190232779
167,0.0543990395981435
168,0.287979720315376
169,-0.205844665231046
170,-0.193836389120984
171,0.307177480667214
172,-0.138073982355574
173,-0.00853442841118284
174,0.106668314086683
175,-0.0333119648325284
176,0.0448066870354263
177,-0.310606191744653
178,0.353754630029737
179,-0.123023412402948
180,-0.0554215895414376
181,0.32072151802545
182,-0.247364480197928
183,0.112840363010801
184,-0.0817426394652612
185,0.110701586215577
186,-0.234887280862758
187,-0.346840829722218
188,0.372320947411276
